AreaColumns,Timecolumns,dataValue,stfips,areatype,area,maparea,areaname,Stateabbrv,seriescode,seriestitle,adjusted,CURempces,CURempprodwrk,CURempfemale,CURhours,CURearnings,CURhourearn,CURhoursallwrkr,CURearningsallwrkr,CURhourearnallwrkr,CURsupprecord,CURsupphe,CURsupppw,CURsuppfem,CURsuppheallwrkr,CURprelim,PYempces,PYempprodwrk,PYempfemale,PYhours,PYearnings,PYhourearn,PYhoursallwrkr,PYearningsallwrkr,PYhourearnallwrkr,PYsupprecord,PYsupphe,PYsupppw,PYsuppfem,PYsuppheallwrkr,PYprelim,PMempces,PMempprodwrk,PMempfemale,PMhours,PMearnings,PMhourearn,PMhoursallwrkr,PMearningsallwrkr,PMhourearnallwrkr,PMsupprecord,PMsupphe,PMsupppw,PMsuppfem,PMsuppheallwrkr,PMprelim,CURperiodyear,CURperiodtype,CURperiod,PMperiodyear,PMperiodtype,PMperiod,PYperiodyear,PYperiodtype,PYperiod,Timeperiod,PriorMonthTimeperiod,PriorYearTimeperiod,MonthSpanTimeperiod,YearSpanTimeperiod,Fullperiod,Sortperiod,Rank,MonthEmploymentChangeAll,YearEmploymentChangeAll,MonthEmploymentChangeProd,YearEmploymentChangeProd,SeriesLevel,ChildPrefix,HasChildren,ParentCode,Preliminary,PriorMonthPreliminary,PriorYearPreliminary,seriesselection
,,,00,00,000000,0000000000,United States,US,00000000,Total nonfarm,0,140980000,0,70398000,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,150055000,0,75393000,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,0,143700000,0,71654000,0.0,0.00,0.00,0.0,0.00,0.00,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,0,-2720000,-9075000,0,0,0,,False,,No,Yes,No,Total nonfarm:00000000
,,,35,21,022140,3521022140,Farmington MSA,NM,00000000,Total nonfarm,0,41200,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,46600,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,42000,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,1,-800,-5400,s;,s;,0,,False,,No,No,No,Total nonfarm:00000000
,,,35,21,042140,3521042140,Santa Fe MSA,NM,00000000,Total nonfarm,0,54600,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,62600,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,55700,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,2,-1100,-8000,s;,s;,0,,False,,No,No,No,Total nonfarm:00000000
,,,35,21,029740,3521029740,Las Cruces MSA,NM,00000000,Total nonfarm,0,68600,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,73500,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,70300,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,3,-1700,-4900,s;,s;,0,,False,,No,No,No,Total nonfarm:00000000
,,,35,01,000000,3501000000,New Mexico,NM,00000000,Total nonfarm,0,767600,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,854600,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,781100,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,4,-13500,-87000,s;,s;,0,,False,,No,No,No,Total nonfarm:00000000
,,,35,21,010740,3521010740,Albuquerque MSA,NM,00000000,Total nonfarm,0,367400,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,398300,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,370700,s;,s;,s;,s;,s;,s;,s;,s;,0,1,1,1,1,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,5,-3300,-30900,s;,s;,0,,False,,No,No,No,Total nonfarm:00000000
,,,00,00,000000,0000000000,United States,US,05000000,Total private,0,119527000,97120000,57990000,34.0,857.48,25.22,34.6,1039.38,30.04,0,0,0,0,0,0,127405000,104554000,62232000,33.2,795.80,23.97,33.9,968.18,28.56,0,0,0,0,0,0,121889000,99342000,59050000,34.2,858.08,25.09,34.8,1038.08,29.83,0,0,0,0,0,1,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,6,-2362000,-7878000,-2222000,-7434000,1,,False,00000000,No,Yes,No,Total private:05000000
,,,35,21,022140,3521022140,Farmington MSA,NM,05000000,Total private,0,31600,s;,s;,s;,s;,s;,33.0,702.90,21.30,0,1,1,1,0,0,35600,s;,s;,s;,s;,s;,34.6,756.36,21.86,0,1,1,1,0,0,32000,s;,s;,s;,s;,s;,33.8,737.85,21.83,0,1,1,1,0,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,7,-400,-4000,s;,s;,1,,False,00000000,No,No,No,Total private:05000000
,,,35,01,000000,3501000000,New Mexico,NM,05000000,Total private,0,597800,s;,s;,s;,s;,s;,34.3,823.20,24.00,0,1,1,1,0,0,669100,s;,s;,s;,s;,s;,33.7,782.51,23.22,0,1,1,1,0,0,604200,s;,s;,s;,s;,s;,33.9,817.67,24.12,0,1,1,1,0,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,8,-6400,-71300,s;,s;,1,,False,00000000,No,No,No,Total private:05000000
,,,35,21,042140,3521042140,Santa Fe MSA,NM,05000000,Total private,0,40900,s;,s;,s;,s;,s;,32.4,852.77,26.32,0,1,1,1,0,0,47300,s;,s;,s;,s;,s;,31.3,757.77,24.21,0,1,1,1,0,0,41600,s;,s;,s;,s;,s;,32.9,904.42,27.49,0,1,1,1,0,0,2021,03,01,2020,03,12,2020,03,01,"January, 2021","December, 2020","January, 2020","December, 2020 - January, 2021","January, 2020 - January, 2021",20210301,03202101,9,-700,-6400,s;,s;,1,,False,00000000,No,No,No,Total private:05000000
