stfips,areatype,area,maparea,areaname,Stateabbrv,periodid,PeriodString,matoccode,estoccprj,projoccprj,grrate,nchg,pchg,aopeng,aopenr,aopent,exits,annualexits,transfers,annualtransfers,change,annualchange,openings,annualopenings,growcode,growdesc,suppress,estyear,projyear,codetype,occcode,codeTitle,codelevel,inDemand,regionalInDemand,green,regionalGreen,DemandRank,Timeperiod,Fullperiod,Sortperiod,Rank,SortOcc
00,00,000000,0000000000,United States,US,18,20180020280005,000000,161037700,169435900,,8398100,5.2000,,,,72093000,7209300,116449000,11644900,8398100,839810,196940000,19694000,SS,Stable,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,0,AAAAAAAA
35,15,000015,3515000015,Northern Region,NM,18,20180020280005,000000,197835,210346,0.6151,12511,6.3240,,,,93089,9309,145165,14516,12511,1251,250765,25076,GG,Growing,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,1,AAAAAAAA
35,21,029740,3521029740,Las Cruces MSA,NM,18,20180020280005,000000,77408,82842,0.6808,5434,7.0199,,,,36316,3632,56252,5625,5434,543,98002,9800,GG,Growing,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,2,AAAAAAAA
35,15,000005,3515000005,Central Region,NM,18,20180020280005,000000,401031,425638,0.5973,24607,6.1359,,,,183466,18347,291330,29133,24607,2461,499403,49941,SS,Stable,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,3,AAAAAAAA
35,21,042140,3521042140,Santa Fe MSA,NM,18,20180020280005,000000,65231,68827,0.5381,3596,5.5127,,,,30511,3051,47934,4793,3596,360,82041,8204,SS,Stable,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,4,AAAAAAAA
35,15,000020,3515000020,Eastern Region,NM,18,20180020280005,000000,145260,154134,0.5947,8874,6.1090,,,,67470,6747,110581,11058,8874,887,186925,18692,SS,Stable,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,5,AAAAAAAA
35,01,000000,3501000000,New Mexico,NM,18,20180020280005,000000,875467,930280,0.6091,54813,6.2610,,,,404369,40437,642703,64270,54813,5481,1101885,110188,SS,Stable,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,6,AAAAAAAA
35,21,010740,3521010740,Albuquerque MSA,NM,18,20180020280005,000000,401031,425638,0.5973,24607,6.1359,,,,183466,18347,291330,29133,24607,2461,499403,49941,SS,Stable,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,7,AAAAAAAA
35,15,000010,3515000010,Southwestern Region,NM,18,20180020280005,000000,106793,113870,0.6437,7077,6.6268,,,,50206,5021,77436,7744,7077,708,134719,13473,GG,Growing,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,8,AAAAAAAA
35,21,022140,3521022140,Farmington MSA,NM,18,20180020280005,000000,49945,53063,0.6074,3118,6.2429,,,,23521,2352,37940,3794,3118,312,64579,6458,SS,Stable,0,2018,2028,14,000000,Total All,1,,,,,,2018-2028,20180020280005,2018202818,9,AAAAAAAA
00,00,000000,0000000000,United States,US,18,20180020280005,132011,1424000,1514700,,90700,6.4000,,,,414000,41400,955000,95500,90700,9070,1460000,146000,GG,Growing,0,2018,2028,14,132011,Accountants and Auditors,6,1,0,0,0,,2018-2028,20180020280005,2018202818,10,Accountants and Auditors
