Areaname,Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Timeperiod,Adjusted,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Fullperiod,Sortperiod,Rank,Preliminary,prelim
United States,000000,00,00,0000000000,US,2017,01,00,2017,0,160320000,153337000,6982000,4.40,62.9,60.1,20170100,01201700,0,No,0
New Mexico,000000,01,35,3501000000,NM,2017,01,00,2017,0,946386,888865,57521,6.10,58.3,54.7,20170100,01201700,1,No,0
Bernalillo County,000001,04,35,3504000001,NM,2017,01,00,2017,0,331263,313343,17920,5.40,,,20170100,01201700,2,No,0
Catron County,000003,04,35,3504000003,NM,2017,01,00,2017,0,1174,1093,81,6.90,,,20170100,01201700,3,No,0
Chaves County,000005,04,35,3504000005,NM,2017,01,00,2017,0,27699,25937,1762,6.40,,,20170100,01201700,4,No,0
Cibola County,000006,04,35,3504000006,NM,2017,01,00,2017,0,9185,8481,704,7.70,,,20170100,01201700,5,No,0
Colfax County,000007,04,35,3504000007,NM,2017,01,00,2017,0,5738,5398,340,5.90,,,20170100,01201700,6,No,0
Curry County,000009,04,35,3504000009,NM,2017,01,00,2017,0,22470,21405,1065,4.70,,,20170100,01201700,7,No,0
De Baca County,000011,04,35,3504000011,NM,2017,01,00,2017,0,855,816,39,4.60,,,20170100,01201700,8,No,0
Doña Ana County,000013,04,35,3504000013,NM,2017,01,00,2017,0,96581,90089,6492,6.70,,,20170100,01201700,9,No,0
Eddy County,000015,04,35,3504000015,NM,2017,01,00,2017,0,29408,27888,1520,5.20,,,20170100,01201700,10,No,0
Grant County,000017,04,35,3504000017,NM,2017,01,00,2017,0,12349,11607,742,6.00,,,20170100,01201700,11,No,0
Guadalupe County,000019,04,35,3504000019,NM,2017,01,00,2017,0,1657,1550,107,6.50,,,20170100,01201700,12,No,0
Harding County,000021,04,35,3504000021,NM,2017,01,00,2017,0,284,267,17,6.00,,,20170100,01201700,13,No,0
Hidalgo County,000023,04,35,3504000023,NM,2017,01,00,2017,0,2149,2040,109,5.10,,,20170100,01201700,14,No,0
Lea County,000025,04,35,3504000025,NM,2017,01,00,2017,0,28068,26250,1818,6.50,,,20170100,01201700,15,No,0
Lincoln County,000027,04,35,3504000027,NM,2017,01,00,2017,0,8786,8307,479,5.50,,,20170100,01201700,16,No,0
Los Alamos County,000028,04,35,3504000028,NM,2017,01,00,2017,0,9200,8850,350,3.80,,,20170100,01201700,17,No,0
Luna County,000029,04,35,3504000029,NM,2017,01,00,2017,0,10633,9156,1477,13.90,,,20170100,01201700,18,No,0
McKinley County,000031,04,35,3504000031,NM,2017,01,00,2017,0,24502,22415,2087,8.50,,,20170100,01201700,19,No,0
Mora County,000033,04,35,3504000033,NM,2017,01,00,2017,0,2227,2052,175,7.90,,,20170100,01201700,20,No,0
Otero County,000035,04,35,3504000035,NM,2017,01,00,2017,0,25158,23639,1519,6.00,,,20170100,01201700,21,No,0
Quay County,000037,04,35,3504000037,NM,2017,01,00,2017,0,3280,3081,199,6.10,,,20170100,01201700,22,No,0
Rio Arriba County,000039,04,35,3504000039,NM,2017,01,00,2017,0,16934,15864,1070,6.30,,,20170100,01201700,23,No,0
Roosevelt County,000041,04,35,3504000041,NM,2017,01,00,2017,0,8064,7649,415,5.10,,,20170100,01201700,24,No,0
Sandoval County,000043,04,35,3504000043,NM,2017,01,00,2017,0,65112,61147,3965,6.10,,,20170100,01201700,25,No,0
San Juan County,000045,04,35,3504000045,NM,2017,01,00,2017,0,54430,50373,4057,7.50,,,20170100,01201700,26,No,0
San Miguel County,000047,04,35,3504000047,NM,2017,01,00,2017,0,11066,10254,812,7.30,,,20170100,01201700,27,No,0
Santa Fe County,000049,04,35,3504000049,NM,2017,01,00,2017,0,74071,70347,3724,5.00,,,20170100,01201700,28,No,0
Sierra County,000051,04,35,3504000051,NM,2017,01,00,2017,0,4204,3880,324,7.70,,,20170100,01201700,29,No,0
Socorro County,000053,04,35,3504000053,NM,2017,01,00,2017,0,6654,6233,421,6.30,,,20170100,01201700,30,No,0
Taos County,000055,04,35,3504000055,NM,2017,01,00,2017,0,15212,14024,1188,7.80,,,20170100,01201700,31,No,0
Torrance County,000057,04,35,3504000057,NM,2017,01,00,2017,0,5632,5155,477,8.50,,,20170100,01201700,32,No,0
Union County,000059,04,35,3504000059,NM,2017,01,00,2017,0,1928,1856,72,3.70,,,20170100,01201700,33,No,0
Valencia County,000061,04,35,3504000061,NM,2017,01,00,2017,0,30416,28419,1997,6.60,,,20170100,01201700,34,No,0
Central Region,000005,15,35,3515000005,NM,2017,01,00,2017,0,432423,408064,24359,5.60,,,20170100,01201700,35,No,0
Southwestern Region,000010,15,35,3515000010,NM,2017,01,00,2017,0,133744,124098,9646,7.20,,,20170100,01201700,36,No,0
Northern Region,000015,15,35,3515000015,NM,2017,01,00,2017,0,222565,208058,14507,6.50,,,20170100,01201700,37,No,0
Eastern Region,000020,15,35,3515000020,NM,2017,01,00,2017,0,157657,148645,9012,5.70,,,20170100,01201700,38,No,0
