Area,Areatype,Stfips,Maparea,Stateabbrv,Periodyear,Periodtype,Period,Laborforce,Emplab,Unemp,Unemprate,Clfprate,Emppopratio,Areaname,Timeperiod,Adjusted,Fullperiod,Sortperiod,Rank,Preliminary,prelim
000000,00,00,0000000000,US,2021,03,01,159234000,148383000,10851000,6.80,61.0,56.9,United States,"January, 2021",0,20210301,03202101,0,No,0
000000,01,35,3501000000,NM,2021,03,01,952128,865794,86334,9.10,57.4,52.2,New Mexico,"January, 2021",0,20210301,03202101,1,No,0
000001,04,35,3504000001,NM,2021,03,01,334119,305784,28335,8.50,,,Bernalillo County,"January, 2021",0,20210301,03202101,2,No,0
000003,04,35,3504000003,NM,2021,03,01,1190,1091,99,8.30,,,Catron County,"January, 2021",0,20210301,03202101,3,No,0
000005,04,35,3504000005,NM,2021,03,01,29034,26446,2588,8.90,,,Chaves County,"January, 2021",0,20210301,03202101,4,No,0
000006,04,35,3504000006,NM,2021,03,01,9717,8544,1173,12.10,,,Cibola County,"January, 2021",0,20210301,03202101,5,No,0
000007,04,35,3504000007,NM,2021,03,01,5393,4984,409,7.60,,,Colfax County,"January, 2021",0,20210301,03202101,6,No,0
000009,04,35,3504000009,NM,2021,03,01,23059,21598,1461,6.30,,,Curry County,"January, 2021",0,20210301,03202101,7,No,0
000011,04,35,3504000011,NM,2021,03,01,731,687,44,6.00,,,De Baca County,"January, 2021",0,20210301,03202101,8,No,0
000013,04,35,3504000013,NM,2021,03,01,97634,89171,8463,8.70,,,Doña Ana County,"January, 2021",0,20210301,03202101,9,No,0
000015,04,35,3504000015,NM,2021,03,01,33299,30504,2795,8.40,,,Eddy County,"January, 2021",0,20210301,03202101,10,No,0
000017,04,35,3504000017,NM,2021,03,01,11748,10636,1112,9.50,,,Grant County,"January, 2021",0,20210301,03202101,11,No,0
000019,04,35,3504000019,NM,2021,03,01,1606,1467,139,8.70,,,Guadalupe County,"January, 2021",0,20210301,03202101,12,No,0
000021,04,35,3504000021,NM,2021,03,01,285,272,13,4.60,,,Harding County,"January, 2021",0,20210301,03202101,13,No,0
000023,04,35,3504000023,NM,2021,03,01,1977,1855,122,6.20,,,Hidalgo County,"January, 2021",0,20210301,03202101,14,No,0
000025,04,35,3504000025,NM,2021,03,01,28949,25149,3800,13.10,,,Lea County,"January, 2021",0,20210301,03202101,15,No,0
000027,04,35,3504000027,NM,2021,03,01,9321,8377,944,10.10,,,Lincoln County,"January, 2021",0,20210301,03202101,16,No,0
000028,04,35,3504000028,NM,2021,03,01,10287,9918,369,3.60,,,Los Alamos County,"January, 2021",0,20210301,03202101,17,No,0
000029,04,35,3504000029,NM,2021,03,01,10122,8299,1823,18.00,,,Luna County,"January, 2021",0,20210301,03202101,18,No,0
000031,04,35,3504000031,NM,2021,03,01,24892,21859,3033,12.20,,,McKinley County,"January, 2021",0,20210301,03202101,19,No,0
